"","catch_upper","catch","catch_lower","year","SSB_upper","SSB","SSB_lower","F_upper","F","F_lower","R_upper","R","R_lower"
"1",9684.4341566638,9196.55531299099,8708.67646931819,1980,32912.7094169008,30283.437923246,27654.1664295912,0.397206296141136,0.349707342527682,0.302208388914227,46800.5075827191,36581.3243112049,26362.1410396906
"2",6006.16172437662,5175.99978419119,4345.83784400576,1981,27167.1953259407,24534.9618498151,21902.7283736894,0.270888799470549,0.241753419635941,0.212618039801334,40574.6669643646,28896.4024406127,17218.1379168607
"3",9115.57581895428,7972.99079881813,6830.40577868199,1982,24625.8879199225,22413.9590684659,20202.0302170092,0.493755834317965,0.431919983485921,0.370084132653877,43911.9102278746,34574.0691672624,25236.2281066502
"4",9685.06436006801,7982.92446628839,6280.78457250878,1983,19050.0904380988,17214.5435294369,15378.9966207749,0.608108632219846,0.537440147168431,0.466771662117015,33305.8465570546,24927.1758566308,16548.505156207
"5",8024.75834086348,7011.96685380749,5999.17536675149,1984,14107.5245537069,12734.3846154446,11361.2446771824,0.709206165183677,0.659655508245881,0.610104851308084,34920.0826691128,26656.151056854,18392.2194445952
"6",5490.44608936206,4624.57809218276,3758.71009500346,1985,9304.25971196995,8378.12979626602,7451.99988056208,0.769394192658942,0.716850255382036,0.664306318105131,32765.2689430568,26704.2738261623,20643.2787092677
"7",2978.23157657699,2450.73633744732,1923.24109831766,1986,7472.15913857345,6341.8037835218,5211.44842847014,0.474489545200014,0.421350546803976,0.368211548407938,37398.5700604451,25057.0757297378,12715.5813990305
"8",4592.38438563044,3525.39483115034,2458.40527667024,1987,8162.54546597627,6615.41210610138,5068.27874622648,0.638082798427931,0.550623437033141,0.463164075638351,30754.6697491087,21579.9342231837,12405.1986972588
"9",3836.52649243631,2875.0760650739,1913.6256377115,1988,7894.82720110185,6217.09891138747,4539.37062167309,0.568709615702771,0.504251595271336,0.4397935748399,44821.9749941996,34645.7588729507,24469.5427517018
"10",2492.87116619977,1758.89143062325,1024.91169504673,1989,8837.32267630023,6498.93994604567,4160.55721579112,0.366351212983533,0.33047012463069,0.294589036277847,35360.4907817603,26705.4852226141,18050.4796634679
"11",3243.30042299443,2372.14353312455,1500.98664325468,1990,9742.32050839579,6999.88547594405,4257.45044349232,0.504350842263375,0.436969375960764,0.369587909658153,41613.9164229651,32376.7328500563,23139.5492771475
"12",5331.55936635416,3721.75771820404,2111.95607005393,1991,13048.8559629318,9089.26191819011,5129.66787344847,0.435927363653091,0.394991324141723,0.354055284630355,48415.440789591,33142.0133626135,17868.585935636
"13",5489.64765083534,3835.96605643028,2182.28446202523,1992,12183.5421912489,9045.52809496328,5907.51399867762,0.506221233888532,0.454091015801887,0.401960797715243,39910.2060897884,28416.3055018662,16922.4049139439
"14",5043.01552993219,3595.29712597536,2147.57872201852,1993,11743.6420499658,9006.94269115624,6270.24333234663,0.547911132350095,0.464482631286661,0.381054130223227,52570.8001676727,34514.1658820509,16457.5315964291
"15",5706.52934861416,4411.93942826334,3117.34950791253,1994,11180.9631301367,9185.9377519647,7190.91237379268,0.655764687315672,0.558480070003571,0.46119545269147,35704.0604728257,27873.0184089681,20041.9763451104
"16",3550.85292436004,2786.66878504584,2022.48464573163,1995,9676.64642758487,7923.63672075405,6170.62701392323,0.442958631074443,0.404742288,0.366525944925557,33497.0755633387,26758.2160675798,20019.3565718209
"17",2685.62159519222,2008.68613096204,1331.75066673186,1996,12047.2131174585,8813.53704506767,5579.86097267689,0.303714441619227,0.272936932018423,0.242159422417618,45638.7866479388,32088.3333570656,18537.8800661923
"18",5497.13366875831,3300.69857123661,1104.2634737149,1997,14284.2739590411,9672.90930787489,5061.54465670863,0.367862156020328,0.324730489145421,0.281598822270513,31868.9647371199,25692.0694259723,19515.1741148246
"19",3011.80724946753,2235.5651001404,1459.32295081327,1998,11799.311477568,9033.27464868227,6267.23781979649,0.336839537423456,0.289170109618472,0.241500681813488,35434.5733550116,30193.0353636887,24951.4973723658
"20",2534.82057433004,1941.69034398431,1348.56011363857,1999,13473.3275543872,10241.1345416914,7008.94152899559,0.260136871087252,0.230235017873889,0.200333164660525,31362.0151271931,22911.7420142994,14461.4689014057
"21",2374.12286427191,1761.58191045225,1149.04095663259,2000,15520.9863702535,12018.5876564039,8516.18894255435,0.198577340524835,0.172994980061274,0.147412619597712,45196.7528241874,31215.0870672386,17233.4213102899
"22",3214.89157773468,2417.78282505716,1620.67407237965,2001,15336.5564671034,12170.245484283,9003.93450146263,0.276453917532953,0.244356269026689,0.212258620520426,43826.6859947982,30645.9897154722,17465.2934361462
"23",3302.37600787378,2530.64403404753,1758.91206022128,2002,14471.6463159769,11231.0385292406,7990.43074250433,0.311520606985574,0.268063166467606,0.224605725949638,50322.6815738589,35331.2657061152,20339.8498383714
"24",3204.00542884777,2428.85837858362,1653.71132831948,2003,16119.6690574701,11938.6469624934,7757.62486751665,0.254669408693145,0.227856283697769,0.201043158702393,42686.2181381794,31654.1620984245,20622.1060586696
"25",2959.44232731836,2269.67927721081,1579.91622710327,2004,15604.544812977,11532.1082329803,7459.67165298359,0.266260165239222,0.228855097718714,0.191450030198205,38741.4938167882,28507.5697366812,18273.6456565743
"26",2017.89017230402,1589.89626568664,1161.90235906926,2005,15751.0175399759,11781.8937162623,7812.76989254882,0.163921666025215,0.148315229244367,0.132708792463519,37730.0519358033,28109.4178440662,18488.783752329
"27",2075.85495086114,1574.25312368156,1072.65129650197,2006,16578.7322679038,12400.6779514839,8222.62363506409,0.171884775077682,0.15115920941659,0.130433643755498,45143.4719497131,35727.7551141266,26312.0382785402
"28",1780.44118785672,1391.5624771928,1002.68376652888,2007,17441.9316126895,13521.0481768183,9600.16474094704,0.116390956032108,0.102319436166608,0.0882479163011082,38703.2659724237,29602.3351163448,20501.4042602659
"29",1909.1064031833,1445.18874834225,981.271093501188,2008,18430.0022397717,13956.5238706474,9483.04550152321,0.130854736342128,0.11620704080282,0.101559345263511,40063.531234541,30778.712040403,21493.892846265
"30",1673.19560423624,1290.82814532704,908.460686417838,2009,17964.5517500497,13684.4496118203,9404.34747359085,0.126303673081527,0.114917590163273,0.103531507245018,33493.7831201497,25963.3050339093,18432.8269476689
"31",1701.81346101414,1212.84412358301,723.874786151887,2010,16453.9808188654,12873.4798887572,9292.97895864901,0.116895283135741,0.103120532375858,0.0893457816159744,23749.7807831007,19520.2962381466,15290.8116931924
"32",1088.79708437111,719.955623181192,351.114161991272,2011,17536.0343626683,13192.4052000812,8848.77603749415,0.0706364645723087,0.0600616413379665,0.0494868181036244,48269.7963522093,37197.0679190084,26124.3394858076
"33",1064.53909946154,766.718715704756,468.898331947972,2012,17997.1562925172,13405.8849885889,8814.61368466071,0.0680924009617098,0.0606251000334694,0.053157799105229,30100.5630051497,22722.9607117161,15345.3584182825
"34",897.621392229929,694.068403362977,490.515414496026,2013,17563.9099842357,13606.3949095449,9648.87983485404,0.0613460110794933,0.0550439704279957,0.0487419297764981,38218.6829391741,28392.5776877399,18566.4724363056
"35",933.915289142298,671.540463636679,409.16563813106,2014,20636.1358212371,16359.9606350725,12083.7854489079,0.047668441403086,0.0425936935558789,0.0375189457086717,33681.9577816745,24792.8374405936,15903.7170995126
"36",820.362753408185,612.939383606143,405.5160138041,2015,22284.166681827,18302.858436973,14321.550192119,0.0426800686276468,0.0379928975826722,0.0333057265376977,39530.6657265318,30533.3756983901,21536.0856702484
"37",649.700669224832,512.618062104118,375.535454983404,2016,24417.4677434497,20766.7143452925,17115.9609471352,0.032225683537717,0.0290105425350761,0.0257954015324352,43058.4975887901,31231.4118048369,19404.3260208836
"38",618.411213370976,516.612059176175,414.812904981374,2017,24552.8388871423,21053.5128216555,17554.1867561686,0.0306117848384922,0.0269971315536149,0.0233824782687376,42271.5413489879,32143.1386253838,22014.7359017798
"39",626.383009266259,527.990110578844,429.597211891428,2018,23636.2382369414,20289.4521560041,16942.6660750668,0.0316757938508611,0.0280183285570148,0.0243608632631686,45580.7483701282,34251.6045656867,22922.4607612453
"40",738.207594729228,602.389808853417,466.572022977606,2019,23719.7678895126,20215.7478982904,16711.7279070681,0.040525391537579,0.0359100839478198,0.0312947763580606,35036.6871891035,26791.1163581595,18545.5455272154
"41",663.987956250989,508.199428734955,352.410901218921,2020,22523.5904954428,18950.9686064246,15378.3467174064,0.0353612717452205,0.0304918254310323,0.0256223791168442,30321.8193317513,24259.3277066218,18196.8360814923
"42",877.510280273842,709.465274925049,541.420269576256,2021,23309.4287882585,18988.4113205859,14667.3938529133,0.0479560760281005,0.043894846607074,0.0398336171860475,48682.2787899584,33061.5275256456,17440.7762613329
